species,natsub,a0,a1,a2,b1,b2,b3,b4,b5,k7,k8
SB,11,0.957624,0.94674,1.000452,1.430462,-0.356702,2.950725,-1.455471,0.154263,0.414614,1.030781
SB,12,0.929037,0.967718,0.998511,1.236597,-0.308204,2.535507,-1.22206,0.146243,0.349765,1.036689
SB,13,0.929037,0.967718,0.998511,1.236597,-0.308204,2.535507,-1.22206,0.146243,0.349765,1.036689
SB,14,0.929037,0.967718,0.998511,1.236597,-0.308204,2.535507,-1.22206,0.146243,0.349765,1.036689
SB,15,0.929037,0.967718,0.998511,1.236597,-0.308204,2.535507,-1.22206,0.146243,0.349765,1.036689
SB,16,0.929037,0.967718,0.998511,1.236597,-0.308204,2.535507,-1.22206,0.146243,0.349765,1.036689
SB,17,0.940695,0.957211,0.99964,1.395784,-0.344672,2.835917,-1.39646,0.152487,0.382746,1.033405
SB,18,0.940695,0.957211,0.99964,1.395784,-0.344672,2.835917,-1.39646,0.152487,0.382746,1.033405
SB,19,0.940695,0.957211,0.99964,1.395784,-0.344672,2.835917,-1.39646,0.152487,0.382746,1.033405
SB,20,0.940695,0.957211,0.99964,1.395784,-0.344672,2.835917,-1.39646,0.152487,0.382746,1.033405
SE,0,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,1,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,2,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,3,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,4,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,5,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,6,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,7,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,8,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,9,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,10,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,11,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,12,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,13,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,14,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,15,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,16,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,17,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,18,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,19,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SE,20,1.072576,0.897766,1.001919,1.301834,-0.305439,2.265717,-1.119671,0.123519,0.46127,1.023752
SW,0,0.860438,0.995406,0.998493,1.040218,-0.252387,1.842818,-0.852227,0.110359,0.484768,1.024893
SW,1,0.903528,0.975136,0.999018,0.846981,-0.244969,1.783097,-0.730236,0.040997,0.413577,1.028342
SW,2,0.903528,0.975136,0.999018,0.846981,-0.244969,1.783097,-0.730236,0.040997,0.413577,1.028342
SW,3,0.903528,0.975136,0.999018,0.846981,-0.244969,1.783097,-0.730236,0.040997,0.413577,1.028342
SW,4,0.903528,0.975136,0.999018,0.846981,-0.244969,1.783097,-0.730236,0.040997,0.413577,1.028342
SW,5,0.903528,0.975136,0.999018,0.846981,-0.244969,1.783097,-0.730236,0.040997,0.413577,1.028342
SW,6,0.903528,0.975136,0.999018,0.846981,-0.244969,1.783097,-0.730236,0.040997,0.413577,1.028342
